,file,k_mean,k_median,m_2_mean,m_2_median,m_3_mean,m_3_median,frames
0,baltyk_koszalin_02.mp4,5.121254233001157,3.0412191384136555,5.700556324274366,5.216150764453108,2.868554240022282,2.817873345551948,667
1,baltyk_koszalin_03_03.mp4,3.644921725811361,2.7610644891056872,7.828825140859509,8.888120761314871,2.8308090215864907,2.518031600531326,480
2,baltyk_koszalin_04_04.mp4,7.0710577745182395,7.419104891315226,7.574515902478537,8.327714123299039,3.475338370674562,3.1881245583022806,419
3,baltyk_koszalin_05_06.mp4,4.10133794441413,2.8856670767544603,5.106686198838243,6.113991666136343,2.723333486824185,2.194250216803431,461
4,baltyk_koszalin_06_07.mp4,6.384810161710821,3.9463721473360858,5.196813642563514,3.1483316830230805,3.1215626569230754,2.8966355270070068,300
5,baltyk_koszalin_07_09.mp4,4.588883714652347,3.1438721186138228,5.713208494381334,4.80266598881738,4.626726912574262,4.6615618287195035,660
6,baltyk_kotwica_1.mp4,4.2963607144986415,4.416981143055824,3.60838344537951,3.9399876375246317,2.5241108252828344,2.1364621766755683,175
7,baltyk_starogard_1.mp4,2.4167732665748805,2.0508391867402365,3.3237553242971374,3.31958554150298,3.3458391518149737,3.0334790104442027,728
8,WDA_Kotwica_01.mp4,8.093497205030804,7.536535287950814,6.769490576507616,4.940465561965759,12.39959806104639,8.759190689929008,501
9,ENG_POL_01_09.mp4,8.118966894735566,5.464957506406533,11.209733714192634,9.182433179172383,9.512916582941173,6.785087040262138,758
10,BAR_SEV_01.mp4,9.078550948425253,5.258235809589323,10.472118526196994,2.9324533972112765,10.09353281051182,6.866728878904954,372
