,name,mdh_keypoints,mdh_2points,mdh_3points,fretchet_keypoints,fretchet_2points,fretchet_3points,dtw_keypoints,dtw_2points,dtw_3points
0,baltyk_koszalin_02.mp4,2.9803780221106435,3.6398250438303053,1.8814030942769588,8.768049316688334,7.244315408664455,4.022982036326773,2066.1848533925204,2585.0565617520806,1261.0811060461883
1,baltyk_koszalin_03_03.mp4,2.0613320671173816,2.7689412039224166,1.0317965212990008,6.757307147891111,7.10245784734676,2.654049767972146,1165.2800101773237,1742.0622536394142,576.1354368460677
2,baltyk_koszalin_04_04.mp4,5.985705494793096,6.097958485065774,2.196123489463693,14.314504756288049,14.197192680352138,7.173757729744408,3298.464420359905,3442.9485331464452,1147.0381330193482
3,baltyk_koszalin_05_06.mp4,0.5291097164204771,0.8923971814839593,0.5804932688254455,1.6566842163479976,2.587521169819844,2.4351412716367955,298.23524893074375,505.20292003056915,355.0575818116575
4,baltyk_koszalin_06_07.mp4,2.6502308053866384,2.1839273557090406,1.8308436947382327,6.780141906909998,4.251279856248623,3.9862532994316435,851.0069733915088,752.1158425094211,548.7069956346044
5,baltyk_koszalin_07_09.mp4,2.582522567750559,4.384450934562005,2.951818064407007,14.151333294321049,11.88852304169959,9.153100488747091,1843.240044076882,3117.4917870273243,2307.5877381455875
6,baltyk_kotwica_1.mp4,2.4666756241252266,1.720373905099283,1.0271445476751004,5.136429662239627,3.5346644217816747,3.6211990122305773,518.6932101324736,311.8386709570246,183.09856040492156
7,baltyk_starogard_1.mp4,1.1350479229426311,1.3407141771006064,0.8058452253657292,4.915824984527441,3.3442323425863743,2.9737364282531096,986.236960115857,1261.7715019148873,849.6768752360144
8,WDA_Kotwica_01.mp4,4.413337035366769,4.8320895839909355,4.040295928806906,35.62146194469647,33.20026443318724,29.529289035455974,2107.5384164668044,2342.0168195747597,1980.3232970545412
9,ENG_POL_01_09.mp4,3.2534090419904156,3.557519770562643,2.7617933820724763,9.555359070027302,8.920909742658294,9.335235201630615,2594.6796558856563,2837.459978880398,2391.5012891165834
10,BAR_SEV_01.mp4,2.9930775723256415,3.2046815966003175,2.6314893095078524,26.191765167747107,26.341579030068097,22.841759577805114,1893.3481867322416,2326.3091366644207,1766.4558312734703
